title,skills,experience,salary_lpa,certifications
Full Stack Developer,"Machine Learning, React, JavaScript, SQL",5+ years,30.1,
Backend Developer,"Python, Java, Django, SQL",2-5 years,8.0,AWS Developer
Agile Coach,"Process Optimization, Coaching, Training, Agile",2-5 years,16.4,"CAL, PMC"
Analytics Consultant,"Statistics, Communication, Python, SQL",5+ years,31.9,
Data Analyst,"AWS, Statistics, Python, Tableau",5+ years,30.3,Power BI Analyst
Project Manager,"Machine Learning, Agile, Project Management, Leadership",1-3 years,9.9,"CAPM, PRINCE2"
Senior Engineer,"Kubernetes, SQL, Python",1-3 years,7.4,
Solutions Architect,"SQL, Python",2-5 years,14.3,
Business Analyst,"Communication, Tableau, Power BI, Excel",2-5 years,12.6,
Strategy Consultant,"Research, Consulting, Market Analysis, Financial Analysis",2-5 years,15.5,MBA
Strategy Consultant,"Financial Analysis, Market Analysis, Research, Consulting",0-1 year,6.0,"Strategic Management Cert, MBA"
Data Scientist,"TensorFlow, SQL, Machine Learning, Deep Learning",0-1 year,5.6,"AWS ML, GCP ML Engineer"
Agile Coach,"Coaching, Agile, Leadership, Process Optimization",3-7 years,21.8,"CSM, PMC"
Scrum Master,"Agile, Communication, Project Management, Leadership",1-3 years,8.2,"PSM, CSM"
Project Manager,"Agile, Project Management, Leadership, Communication",5+ years,17.3,"PMP, PRINCE2"
Operations Manager,"Process Optimization, Operations, Supply Chain, Leadership",0-1 year,5.9,Six Sigma
Data Analyst,"SQL, Python, Tableau, Statistics",0-1 year,3.3,"Power BI Analyst, Tableau Specialist"
DevOps Engineer,"Azure, Jenkins, Kubernetes, Docker",1-3 years,7.8,Kubernetes (CKA)
BI Analyst,"Machine Learning, Power BI, Excel, Data Visualization",1-3 years,9.8,
Full Stack Developer,"Kubernetes, SQL, Python, React",5+ years,25.5,
Finance Manager,"Risk Management, Budgeting, Excel, Financial Analysis",5+ years,31.8,CA
Frontend Developer,"React, Angular, HTML, Vue.js",3-7 years,12.2,
Backend Developer,"SQL, REST API, Java, Django",5+ years,23.4,"Spring Professional, AWS Developer"
Business Analyst,"GCP, Excel, Tableau, SQL",1-3 years,9.5,
Backend Developer,"SQL, Python, Node.js, Django",1-3 years,6.2,AWS Developer
Finance Manager,"Accounting, Risk Management, Budgeting, Financial Analysis",5+ years,31.4,CFA
Strategy Consultant,"Consulting, Business Strategy, Financial Analysis, Market Analysis",2-5 years,15.6,"MBA, Strategic Management Cert"
Agile Coach,"Coaching, Leadership, Agile, Training",2-5 years,13.7,PMC
Backend Developer,"Django, Node.js, Java, REST API",3-7 years,16.9,Spring Professional
Agile Coach,"Leadership, Training, Coaching, Process Optimization",2-5 years,16.6,CSM
Program Manager,"Program Management, Stakeholder Management, Leadership, Planning",1-3 years,9.1,SAFe
Analytics Consultant,"Statistics, Power BI, Python, SQL",1-3 years,8.7,
Data Engineer,"Python, Spark, SQL, AWS",0-1 year,4.9,
Scrum Master,"Communication, Mentoring, Agile, Leadership",3-7 years,14.1,PSM
DevOps Engineer,"Git, CI/CD, Linux, Jenkins",2-5 years,12.6,"Kubernetes (CKA), AWS DevOps"
Data Scientist,"Machine Learning, Statistics, SQL, Python",5+ years,28.0,Azure Data Scientist
Product Manager,"User Research, Market Analysis, Leadership, Data Analysis",0-1 year,5.4,"PSPO, MBA"
Software Engineer,"Java, REST API, Microservices, DSA",2-5 years,8.5,
BI Analyst,"SQL, Data Visualization, Tableau, Excel",2-5 years,11.4,
Full Stack Developer,"JavaScript, SQL, REST API, React",1-3 years,8.4,
Junior Developer,"Python, SQL",5+ years,26.0,
Software Engineer,"Microservices, REST API, DSA, Java",2-5 years,10.2,
Operations Manager,"Leadership, Operations, Process Optimization, Supply Chain",2-5 years,9.7,"MBA, APICS"
DevOps Engineer,"Git, AWS, CI/CD, Linux",5+ years,18.6,"Kubernetes (CKA), Jenkins"
Business Analyst,"Spark, Excel, SQL, Communication",3-7 years,17.9,
Program Manager,"Leadership, Program Management, Stakeholder Management, Planning",1-3 years,11.8,MBA
Management Consultant,"Communication, Problem Solving, Consulting, Leadership",1-3 years,7.2,MBA
Management Consultant,"Deep Learning, Leadership, Communication, Problem Solving",5+ years,31.1,"MCSE, MBA"
DevOps Engineer,"Docker, Jenkins, AWS, Linux",3-7 years,18.1,AWS DevOps
Scrum Master,"Mentoring, Communication, Project Management, Leadership",1-3 years,9.1,PSM
Data Analyst,"Spark, SQL, Statistics, Excel",2-5 years,10.9,Power BI Analyst
Backend Developer,"SQL, Python, Node.js, REST API",2-5 years,14.0,"Spring Professional, AWS Developer"
Data Analyst,"Tableau, Excel, Statistics, Python",3-7 years,11.3,"Power BI Analyst, Google Data Analytics"
Cloud Engineer,"Machine Learning, Docker, GCP, Terraform",1-3 years,8.7,"GCP Associate, AWS Solutions Architect"
Senior Engineer,"SQL, Python",3-7 years,15.1,
Technical Lead,"SQL, Python",1-3 years,8.8,
Project Manager,"Risk Management, Leadership, Project Management, Communication",5+ years,30.2,PMP
Product Manager,"User Research, Market Analysis, Leadership, Product Strategy",3-7 years,16.0,PSPO
BI Analyst,"SQL, Excel, Data Visualization, Power BI",0-1 year,4.4,
Technical Lead,"Spark, Python, SQL",0-1 year,5.2,
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, AWS",3-7 years,14.8,"AWS ML, TensorFlow Cert"
DevOps Engineer,"Machine Learning, Linux, Docker, AWS",5+ years,20.0,"Jenkins, AWS DevOps"
Project Manager,"Communication, Agile, Leadership, Risk Management",2-5 years,16.3,PRINCE2
Project Manager,"Communication, Agile, Risk Management, Project Management",5+ years,29.6,MBA
Business Analyst,"Tableau, Power BI, SQL, Excel",0-1 year,4.7,
Business Manager,"Leadership, Analytics, Negotiation, P&L Management",2-5 years,12.5,MBA
Engineering Manager,"Azure, Python, SQL",2-5 years,14.4,
Business Analyst Manager,"AWS, Leadership, Agile, Power BI",3-7 years,20.0,MBA
